"Time-Body-Acceleration-Magnitude-Mean"	"Time-Body-Acceleration-Magnitude-Stdv"	"Time-Gravity-Acceleration-Magnitude-Mean"	"Time-Gravity-Acceleration-Magnitude-Stdv"	"Time-Body-Acceleration-JerkSignal-Mean"	"Time-Body-Acceleration-JerkSignal-Stdv"	"Time-Body-Gyroscope-Magnitude-Mean"	"Time-Body-Gyroscope-Magnitude-Stdv"	"Time-Body-Gyroscope-Jerk-Magnitude-Mean"	"Time-Body-Gyroscope-Jerk-Magnitude-Stdv"	"Frequency-Body-Acceleration-Magnitude-Mean"	"Frequency-Body-Acceleration-Magnitude-Stdv"	"Frequency-Body-Acceleration-Jerk-Magnitude-Mean"	"Frequency-Body-Acceleration-Jerk-Magnitude-Stdv"	"Frequency-Gyroscope-Magnitude-Mean"	"Frequency-Gyroscope-Magnitude-Stdv"	"Frequency-Gyroscope-Jerk-Magnitude-Mean"	"Frequency-Gyroscope-Jerk-Magnitude-Stdv"	"Identifier"
"1"	-0.453632943768818	-0.497096402038329	-0.453632943768818	-0.497096402038329	-0.545431612066571	-0.515922167555159	-0.475404785802305	-0.499839593745821	-0.639517432642651	-0.652050770910663	-0.478448523354179	-0.589710231217867	-0.499075765624092	-0.541823079570029	-0.535002770337752	-0.566576670397695	-0.645970655298847	-0.685811262634006	"Subject 1"
"2"	-0.535281800541722	-0.552812545643709	-0.535281800541722	-0.552812545643709	-0.58777744543543	-0.512115278415232	-0.614771054893146	-0.680584887880795	-0.746559539039735	-0.740088733655629	-0.514569861316887	-0.646662308457285	-0.509746432970861	-0.518800797709272	-0.699742945221854	-0.725310337688742	-0.751615078360927	-0.744194981440397	"Subject 2"
"3"	-0.563140802770059	-0.591224780306452	-0.563140802770059	-0.591224780306452	-0.650182434328446	-0.607658214170381	-0.643150121648094	-0.674010290979472	-0.784056656246334	-0.80366136372434	-0.579076453758064	-0.663079838985044	-0.604752108072727	-0.615643694857361	-0.716822144279179	-0.703839403007038	-0.810085498651026	-0.810032718739003	"Subject 3"
"4"	-0.56158213510694	-0.606556049548896	-0.56158213510694	-0.606556049548896	-0.656116311856877	-0.647249966810726	-0.656291093847319	-0.706738493542587	-0.819191368044164	-0.844187064164038	-0.602098037677603	-0.672948341687697	-0.63501900541041	-0.666506718936908	-0.745650754608833	-0.732586304826498	-0.838833209652997	-0.863096864037855	"Subject 4"
"5"	-0.460866415568709	-0.52162345171192	-0.460866415568709	-0.52162345171192	-0.589313870006622	-0.589031268133113	-0.602770284825828	-0.664078383532781	-0.707383517582782	-0.734187493344371	-0.528503022745033	-0.594259529756954	-0.573176177044172	-0.613485123609272	-0.677355755703311	-0.715731148145695	-0.748829309536424	-0.735610602483444	"Subject 5"
"6"	-0.464770006998123	-0.483790606354154	-0.464770006998123	-0.483790606354154	-0.551413652396923	-0.502935062310769	-0.549494852037046	-0.579837818063692	-0.621936158532308	-0.644474485460492	-0.473974924380431	-0.570910289993846	-0.494882316238462	-0.516711262173969	-0.579130051151385	-0.657368673849846	-0.651886909221538	-0.660175875210246	"Subject 6"
"7"	-0.511312036747403	-0.510669879158539	-0.511312036747403	-0.510669879158539	-0.622815767680292	-0.550560230585714	-0.581899897967532	-0.598670795839286	-0.713191348337662	-0.658017844948377	-0.518323878824675	-0.583819796092208	-0.553360009658182	-0.550683254908442	-0.628877272791136	-0.650923648207792	-0.668879188156396	-0.668963362464935	"Subject 7"
"8"	-0.468522592843416	-0.554038979266192	-0.468522592843416	-0.554038979266192	-0.534248616612028	-0.564471999961566	-0.476214943826192	-0.581422885341281	-0.673625525658363	-0.715838385516014	-0.512106792856939	-0.651638076286121	-0.529244911130605	-0.618027414911032	-0.609984289180071	-0.636673891144128	-0.70215621546726	-0.755717299964413	"Subject 8"
"9"	-0.505183470509188	-0.553038255314792	-0.505183470509188	-0.553038255314792	-0.621608245092361	-0.608862145384722	-0.550201866572569	-0.663198385034722	-0.7629795809375	-0.786176892048611	-0.553186448295139	-0.624456827182986	-0.609193721940625	-0.611619343190972	-0.700863097986111	-0.697729432621528	-0.786473954201389	-0.801296292638889	"Subject 9"
"10"	-0.502500207000204	-0.545348810631551	-0.502500207000204	-0.545348810631551	-0.57776193128833	-0.529340480130272	-0.521819802352381	-0.624408369413333	-0.734465805340136	-0.768821828979592	-0.518734046961905	-0.633196110969728	-0.515140810846939	-0.553027359614864	-0.661496552826531	-0.666014612598639	-0.767780095068027	-0.787144257176871	"Subject 10"
"11"	-0.542825032813608	-0.612882270912658	-0.542825032813608	-0.612882270912658	-0.679819504547468	-0.664241760370253	-0.628367851066456	-0.696771378957911	-0.826829028481013	-0.866905012626582	-0.611528074359177	-0.674470159009494	-0.656133473274684	-0.676925075857595	-0.757585939588608	-0.711267219682278	-0.864827011392405	-0.879254016740506	"Subject 11"
"12"	-0.559586545675313	-0.5743864944925	-0.559586545675313	-0.5743864944925	-0.6300504918575	-0.566365683597188	-0.63166805889875	-0.68485805678325	-0.77729447821875	-0.7863865328125	-0.55928367746625	-0.65053328158	-0.564239194378438	-0.571614888155312	-0.717311676745625	-0.719438065809375	-0.78990285099375	-0.7973614576875	"Subject 12"
"13"	-0.539871637249541	-0.597230982062691	-0.539871637249541	-0.597230982062691	-0.625466938809174	-0.610248540269939	-0.581215403184709	-0.636364939544342	-0.712745036012232	-0.712056186747706	-0.589928108599083	-0.665344858593272	-0.607295296423853	-0.617075473106453	-0.652225306544343	-0.691915161336391	-0.712054366504281	-0.733183567759939	"Subject 13"
"14"	-0.453262620331889	-0.474058613408978	-0.453262620331889	-0.474058613408978	-0.608973420309907	-0.605144269857245	-0.416459776709257	-0.471486714606811	-0.700520939854799	-0.727023009383901	-0.490874179820433	-0.548269930770588	-0.596896308848452	-0.619215144539319	-0.543030528985449	-0.516930495917399	-0.717590101802972	-0.760560087962848	"Subject 14"
"15"	-0.527285352000488	-0.557147874176037	-0.527285352000488	-0.557147874176037	-0.654799694757531	-0.625660376546646	-0.617721779796037	-0.675336960047866	-0.805282669512195	-0.837120078079268	-0.562948391223628	-0.623655618198171	-0.614817605125915	-0.643101167069512	-0.732394493841463	-0.695346839682927	-0.83680189402439	-0.849634463841463	"Subject 15"
"16"	-0.616131116889044	-0.661719690491803	-0.616131116889044	-0.661719690491803	-0.725246870486339	-0.719647028238525	-0.718168775628415	-0.78482286579235	-0.860446372459016	-0.87480016568306	-0.666962508246721	-0.712680990765301	-0.713167613706148	-0.729869398769672	-0.81712881920765	-0.802078223409836	-0.87277228273224	-0.886533212213115	"Subject 16"
